,0
0,Connecticut
1,Delaware
2,Hawaii
3,Illinois
4,Indiana
5,Kentucky
6,Louisiana
7,Massachusetts
8,Minnesota
9,Mississippi
10,Missouri
11,Nevada
12,New Hampshire
13,New Jersey
14,New Mexico
15,North Carolina
16,North Dakota
17,Oklahoma
18,Oregon
19,Pennsylvania
20,Rhode Island
21,South Carolina
22,South Dakota
23,Tennessee
24,Vermont
25,Virginia
26,Washington
27,West Virginia
28,Wisconsin
29,Wyoming
